Market penetration (%),Beeline distance (mi),Road distance (mi),eVTOL time (min),Road time (min),eVTOL cost (USD),eVTOL cost per mile (USD/mi),Commute trips share,Personal trips share,Business trips share,Income band A trips share,Income band B trips share,Income band C trips share,Income band D trips share,Income band E trips share
1.1%,18.8,41.7,56.5,95.1,126.4,6.7,13%,83%,4%,31%,20%,16%,16%,17%
0.2%,16.1,22.8,46.2,67.0,119.7,7.4,18%,78%,4%,24%,18%,16%,20%,23%
0.1%,17.6,24.1,49.3,69.0,123.3,7.0,25%,71%,4%,34%,19%,14%,14%,18%
0.6%,30.4,40.4,62.3,104.3,148.5,4.9,15%,81%,4%,29%,19%,15%,16%,20%
0.3%,11.8,20.4,50.5,69.2,108.1,9.1,22%,74%,4%,34%,20%,15%,16%,15%
0.5%,31.4,41.9,49.0,59.7,138.4,4.4,13%,82%,5%,14%,28%,31%,12%,15%
11.5%,40.1,57.9,52.9,109.1,155.7,3.9,10%,84%,6%,14%,27%,32%,13%,14%
4.2%,24.1,36.7,59.5,93.0,134.6,5.6,7%,87%,7%,20%,30%,31%,11%,10%
0.0%,18.7,29.4,47.6,38.1,122.0,6.5,14%,81%,4%,14%,29%,33%,12%,12%
0.2%,21.6,30.9,53.2,59.2,127.9,5.9,15%,80%,5%,12%,27%,31%,11%,19%
0.0%,8.6,12.2,39.1,31.2,90.3,10.5,13%,80%,7%,23%,29%,29%,9%,10%
10.5%,36.2,52.3,52.0,83.1,148.3,4.1,3%,89%,8%,11%,27%,30%,9%,22%
9.2%,41.8,53.9,60.3,114.7,160.4,3.8,6%,87%,7%,14%,26%,29%,12%,19%
5.5%,20.1,38.4,42.7,75.9,121.3,6.0,11%,82%,8%,21%,29%,29%,14%,7%
7.4%,16.9,28.6,41.8,65.3,115.5,6.8,2%,91%,7%,22%,33%,30%,10%,4%
12.3%,27.9,50.4,57.0,105.9,141.8,5.1,5%,89%,7%,18%,28%,31%,11%,12%
0.0%,7.1,11.0,37.9,23.6,81.4,11.4,15%,79%,5%,18%,27%,29%,11%,15%
1.5%,23.9,33.9,49.4,65.2,132.8,5.6,9%,86%,5%,25%,31%,31%,7%,7%
0.8%,33.6,48.6,47.9,57.5,143.0,4.3,10%,85%,5%,17%,29%,32%,11%,11%
0.0%,19.3,24.7,51.4,38.3,124.1,6.4,14%,80%,5%,17%,29%,30%,13%,11%
1.0%,24.6,37.8,49.1,63.7,133.6,5.4,12%,82%,6%,13%,27%,30%,12%,18%
0.6%,9.0,16.1,45.9,49.9,94.2,10.5,7%,83%,10%,19%,26%,28%,9%,19%
2.8%,11.5,17.8,43.7,53.9,104.8,9.1,6%,84%,10%,21%,26%,28%,8%,16%
0.5%,10.1,16.5,45.1,49.0,99.7,9.9,6%,84%,10%,20%,26%,28%,9%,17%
0.0%,15.2,23.6,46.3,48.0,114.3,7.5,14%,81%,5%,21%,30%,30%,10%,9%
1.8%,25.0,36.9,54.0,76.5,135.8,5.4,8%,87%,6%,25%,30%,29%,8%,8%
0.0%,12.5,18.4,45.2,35.2,107.5,8.6,15%,80%,6%,16%,28%,30%,12%,14%
5.9%,19.5,36.4,47.5,75.6,124.5,6.4,9%,85%,6%,22%,31%,31%,9%,6%
0.0%,7.1,10.9,39.1,25.7,81.3,11.4,15%,79%,5%,19%,29%,31%,12%,9%
0.4%,24.3,39.3,45.7,51.4,133.0,5.5,13%,82%,4%,14%,28%,32%,11%,14%
9.0%,26.9,43.7,49.7,92.4,138.0,5.1,2%,92%,6%,15%,28%,31%,13%,13%
9.9%,41.6,59.1,49.7,96.2,158.2,3.8,3%,86%,11%,18%,26%,26%,9%,21%
0.1%,7.6,16.6,34.8,30.9,85.9,11.2,8%,88%,5%,20%,31%,31%,10%,9%
0.0%,12.9,18.4,41.6,32.3,107.8,8.4,12%,81%,6%,18%,30%,32%,10%,10%
0.0%,10.4,13.6,38.7,25.6,99.4,9.6,13%,80%,7%,22%,29%,30%,9%,10%
14.4%,32.8,50.8,49.8,97.1,141.2,4.3,4%,88%,8%,14%,27%,31%,12%,17%
3.1%,20.7,30.4,49.5,75.3,126.6,6.1,9%,85%,5%,32%,31%,29%,5%,3%
5.9%,31.9,47.0,48.9,74.0,139.2,4.4,3%,91%,6%,14%,27%,30%,9%,20%
2.7%,13.0,19.9,47.0,61.4,109.7,8.4,8%,84%,8%,22%,30%,29%,9%,10%
1.7%,56.4,88.6,70.7,146.1,191.1,3.4,3%,93%,4%,17%,15%,15%,23%,30%
1.5%,47.2,70.9,81.5,133.3,175.7,3.7,7%,88%,5%,21%,17%,15%,21%,25%
0.0%,13.3,17.3,67.4,31.7,118.1,8.9,18%,78%,4%,30%,21%,15%,19%,16%
0.3%,53.0,64.9,65.7,95.0,182.5,3.4,11%,85%,4%,19%,17%,14%,21%,29%
0.9%,36.6,47.6,56.1,84.8,152.1,4.2,13%,83%,4%,23%,17%,14%,19%,26%
0.0%,64.7,91.0,38.6,130.3,200.7,3.1,,,,,,,,
1.1%,62.2,88.9,75.5,146.5,201.4,3.2,3%,93%,5%,16%,15%,14%,22%,33%
8.9%,37.6,67.7,62.8,107.3,152.8,4.1,7%,87%,6%,21%,20%,17%,21%,21%
2.1%,42.4,60.6,67.3,114.8,162.4,3.8,4%,91%,5%,25%,21%,15%,20%,19%
11.3%,40.3,77.2,77.6,143.6,163.8,4.1,3%,93%,4%,19%,16%,15%,22%,29%
0.6%,33.4,45.3,52.2,71.4,145.6,4.4,15%,81%,4%,21%,17%,15%,20%,27%
0.7%,52.2,71.0,73.6,115.6,182.0,3.5,9%,86%,5%,30%,18%,14%,17%,21%
0.0%,14.2,18.3,19.4,28.7,113.6,8.0,,,,,,,,
0.0%,19.7,25.1,69.8,46.1,132.9,6.7,16%,80%,4%,21%,18%,17%,22%,22%
0.5%,55.2,71.4,74.3,105.0,188.7,3.4,11%,84%,4%,18%,16%,14%,22%,31%
2.6%,34.8,50.7,58.9,92.0,149.3,4.3,19%,77%,4%,21%,14%,13%,18%,34%
2.9%,38.2,53.2,61.2,102.1,156.1,4.1,18%,78%,4%,22%,14%,13%,18%,33%
1.7%,38.2,54.8,59.0,91.2,155.8,4.1,19%,77%,4%,22%,14%,13%,18%,33%
0.2%,46.5,56.1,57.8,84.3,170.7,3.7,10%,85%,4%,22%,18%,15%,20%,25%
0.8%,52.2,72.0,82.0,126.4,183.9,3.5,8%,87%,5%,30%,19%,14%,17%,19%
0.1%,27.6,36.3,51.3,64.7,142.3,5.1,16%,80%,4%,20%,18%,16%,21%,25%
2.1%,40.2,63.1,80.3,124.6,163.4,4.1,12%,83%,4%,24%,18%,15%,20%,24%
0.1%,25.7,30.8,53.5,60.4,138.8,5.4,16%,80%,4%,22%,19%,16%,21%,23%
0.0%,13.1,18.7,19.0,33.7,110.4,8.4,,,,,,,,
3.5%,44.0,73.5,75.5,135.5,168.7,3.8,4%,91%,5%,19%,16%,15%,22%,28%
0.0%,67.9,93.5,39.8,143.3,207.6,3.1,,,,,,,,
0.2%,27.2,42.3,49.2,64.7,141.9,5.2,11%,86%,3%,21%,17%,15%,21%,26%
0.2%,43.9,52.2,57.0,81.6,165.9,3.8,11%,84%,4%,23%,18%,15%,20%,25%
0.3%,39.9,51.3,56.7,77.8,158.5,4.0,12%,84%,4%,23%,17%,14%,19%,26%
2.2%,51.9,81.0,72.0,139.8,183.2,3.5,2%,93%,5%,16%,15%,14%,22%,33%
0.9%,47.6,66.5,82.4,124.8,176.0,3.7,17%,79%,4%,26%,16%,13%,18%,27%
0.5%,60.8,79.9,84.2,114.6,202.1,3.3,7%,87%,6%,26%,18%,16%,19%,21%
1.2%,37.6,53.5,63.5,97.1,154.3,4.1,14%,82%,4%,24%,17%,14%,20%,25%
0.0%,17.3,24.5,59.7,47.0,126.6,7.3,18%,78%,4%,22%,19%,16%,21%,22%
4.0%,45.4,79.8,65.7,137.5,170.9,3.8,3%,92%,4%,17%,16%,17%,22%,28%
4.5%,40.1,58.4,62.3,124.5,158.9,4.0,3%,94%,4%,15%,15%,15%,22%,32%
7.6%,32.0,42.5,56.0,119.8,142.9,4.5,12%,83%,5%,22%,18%,16%,19%,25%
4.0%,28.1,56.0,61.4,98.9,145.9,5.2,9%,86%,5%,16%,14%,14%,19%,38%
0.0%,8.8,10.2,17.4,33.0,94.1,10.7,,,,,,,,
1.6%,20.9,28.7,49.9,66.4,126.0,6.0,15%,82%,4%,21%,21%,18%,22%,18%
3.3%,24.3,34.0,51.1,69.8,133.2,5.5,20%,76%,4%,25%,22%,17%,20%,17%
0.0%,16.1,22.8,65.8,42.1,125.3,7.8,17%,80%,4%,21%,18%,17%,21%,23%
2.6%,46.7,65.5,61.3,133.6,170.8,3.7,7%,89%,4%,22%,17%,16%,20%,26%
1.2%,25.7,40.0,56.7,81.1,138.8,5.4,13%,83%,4%,28%,20%,16%,17%,19%
8.3%,46.9,96.8,55.0,141.4,171.0,3.6,4%,90%,6%,21%,18%,17%,21%,23%
0.9%,56.3,76.2,68.4,122.0,191.1,3.4,4%,91%,5%,19%,17%,17%,23%,25%
13.1%,33.9,59.5,53.9,108.2,146.0,4.3,5%,92%,4%,16%,15%,14%,22%,34%
2.6%,31.1,43.9,60.0,96.7,142.0,4.6,19%,77%,4%,21%,14%,14%,19%,32%
2.7%,29.1,39.0,59.9,101.4,145.2,5.0,17%,78%,4%,23%,15%,14%,18%,29%
2.7%,31.0,43.8,59.2,101.7,149.0,4.8,18%,78%,4%,22%,14%,14%,19%,30%
2.6%,41.5,54.5,58.9,121.1,161.3,3.9,4%,92%,4%,24%,19%,17%,20%,21%
0.5%,23.1,38.6,56.3,69.9,134.8,5.8,13%,83%,5%,26%,18%,15%,18%,23%
1.9%,52.2,69.6,60.3,134.8,180.1,3.4,10%,86%,5%,17%,18%,16%,20%,28%
0.2%,20.5,27.5,60.9,77.7,129.3,6.3,17%,79%,4%,24%,19%,17%,20%,20%
1.9%,45.5,60.0,60.9,124.5,168.7,3.7,5%,90%,5%,22%,20%,18%,20%,20%
10.7%,43.3,87.7,62.0,143.0,166.8,3.9,4%,91%,5%,17%,16%,16%,21%,30%
0.0%,13.6,16.2,48.0,28.7,115.5,8.5,18%,79%,4%,20%,18%,17%,22%,23%
10.8%,23.2,59.3,44.6,94.3,133.4,5.8,7%,87%,5%,19%,15%,15%,18%,34%
4.7%,35.9,48.9,56.5,114.7,151.1,4.2,13%,83%,4%,23%,19%,17%,21%,21%
5.8%,35.3,48.7,58.4,116.6,149.4,4.2,7%,88%,5%,22%,19%,17%,20%,22%
7.1%,32.5,47.0,57.6,118.7,143.7,4.4,11%,84%,5%,22%,18%,17%,20%,24%
0.0%,7.7,12.7,62.1,23.2,95.0,12.3,16%,80%,4%,20%,18%,16%,22%,24%
0.3%,23.7,35.5,60.5,79.0,135.7,5.7,12%,83%,5%,34%,20%,15%,16%,16%
4.8%,28.3,49.1,50.6,89.8,142.9,5.1,15%,81%,4%,17%,15%,14%,19%,34%
0.6%,27.1,36.2,65.0,91.9,142.0,5.2,16%,80%,4%,25%,19%,16%,20%,20%
6.0%,34.4,61.1,67.2,114.7,149.1,4.3,8%,87%,5%,21%,18%,16%,20%,24%
0.5%,23.7,33.1,62.5,92.2,134.8,5.7,15%,81%,5%,22%,18%,15%,19%,26%
1.5%,15.6,22.4,55.3,96.3,118.4,7.6,14%,81%,5%,27%,20%,16%,17%,20%
0.6%,19.6,34.5,61.0,63.8,128.4,6.5,21%,75%,5%,21%,16%,14%,17%,33%
0.0%,17.7,22.0,62.7,47.4,125.6,7.1,19%,77%,4%,21%,18%,15%,20%,26%
0.3%,10.3,15.3,46.1,50.4,99.2,9.7,23%,73%,4%,23%,20%,17%,21%,20%
0.0%,7.3,13.0,40.2,33.8,82.8,11.3,18%,78%,4%,25%,22%,16%,19%,19%
0.0%,14.2,24.7,51.2,59.1,115.1,8.1,20%,77%,4%,25%,19%,16%,20%,20%
2.9%,30.1,45.0,60.1,109.8,146.4,4.9,11%,84%,5%,26%,19%,15%,17%,23%
0.1%,10.4,18.2,51.3,40.9,104.5,10.0,19%,76%,5%,32%,21%,15%,16%,17%
8.0%,41.7,79.5,57.6,122.9,161.0,3.9,15%,81%,3%,24%,18%,16%,21%,20%
1.2%,42.2,59.2,69.4,115.8,164.9,3.9,8%,87%,5%,22%,19%,16%,20%,22%
2.4%,18.6,39.0,52.9,81.5,123.9,6.7,13%,82%,5%,20%,17%,14%,20%,29%
0.5%,15.4,23.1,55.5,79.0,118.8,7.7,28%,67%,5%,26%,17%,14%,17%,27%
0.2%,12.6,20.3,55.4,72.2,111.0,8.8,27%,69%,5%,27%,17%,14%,16%,25%
0.4%,14.3,22.0,54.6,76.3,115.7,8.1,27%,68%,5%,27%,17%,14%,16%,26%
0.6%,24.2,33.9,56.1,87.9,135.6,5.6,14%,81%,5%,27%,20%,15%,18%,20%
0.6%,8.4,16.8,55.1,34.9,94.7,11.3,18%,77%,5%,32%,21%,15%,16%,16%
3.1%,36.6,54.0,70.0,119.6,153.9,4.2,10%,85%,5%,24%,20%,16%,19%,21%
0.0%,7.0,11.2,45.3,38.5,84.5,12.1,22%,74%,3%,25%,19%,15%,18%,23%
3.9%,30.4,43.6,58.2,108.6,146.4,4.8,13%,82%,5%,24%,20%,17%,20%,19%
6.4%,35.1,69.8,71.2,115.7,151.3,4.3,7%,88%,5%,21%,18%,16%,19%,25%
0.0%,8.5,12.5,46.1,34.2,92.6,10.8,21%,76%,3%,22%,18%,16%,21%,23%
1.9%,20.8,38.4,52.0,72.2,128.3,6.2,32%,63%,5%,22%,15%,14%,17%,32%
1.6%,21.9,33.8,53.9,96.1,132.0,6.0,17%,78%,5%,25%,20%,16%,19%,19%
0.6%,17.9,27.2,54.9,79.1,123.4,6.9,14%,81%,5%,25%,20%,16%,18%,20%
1.8%,15.3,25.8,55.9,92.0,117.4,7.7,14%,81%,5%,26%,19%,16%,18%,21%
0.0%,9.6,14.0,44.5,29.3,98.3,10.2,17%,80%,3%,21%,17%,16%,21%,25%
0.0%,6.7,12.5,42.0,27.0,82.9,12.4,18%,77%,5%,36%,20%,14%,15%,15%
0.5%,17.1,29.7,52.5,70.5,121.5,7.1,18%,77%,5%,24%,17%,14%,17%,28%
0.0%,11.3,16.6,48.3,44.0,105.7,9.4,24%,72%,4%,26%,20%,16%,19%,20%
0.2%,40.1,52.8,57.3,75.4,159.1,4.0,10%,85%,4%,18%,17%,16%,21%,28%
0.3%,23.3,38.8,49.9,63.8,134.3,5.8,14%,82%,4%,24%,18%,16%,19%,23%
0.8%,51.4,76.8,84.4,104.4,187.8,3.7,4%,88%,8%,28%,20%,14%,16%,23%
2.7%,50.3,80.6,66.6,138.7,179.4,3.6,2%,93%,5%,16%,15%,15%,21%,33%
8.8%,25.4,54.0,48.5,90.8,134.8,5.3,17%,78%,5%,24%,21%,18%,20%,17%
2.7%,29.2,51.9,49.7,93.7,141.3,4.8,11%,86%,2%,27%,19%,17%,19%,19%
12.3%,29.5,69.0,67.9,126.6,148.4,5.0,5%,91%,4%,19%,17%,16%,21%,27%
0.0%,22.2,32.8,51.5,43.7,134.1,6.0,16%,80%,4%,22%,18%,17%,20%,23%
1.0%,38.9,62.0,62.5,97.1,156.6,4.0,11%,84%,5%,31%,20%,15%,16%,18%
0.0%,16.3,21.3,64.8,31.0,125.5,7.7,18%,78%,4%,33%,21%,14%,17%,14%
0.0%,15.0,21.6,66.4,34.8,123.3,8.2,18%,78%,4%,24%,20%,18%,20%,18%
0.6%,41.9,59.5,59.3,87.3,163.1,3.9,10%,86%,4%,18%,16%,15%,21%,30%
0.8%,21.5,40.6,51.0,69.3,131.1,6.1,22%,74%,4%,21%,15%,15%,18%,32%
2.0%,24.9,44.2,52.2,78.6,137.8,5.5,22%,74%,4%,22%,15%,15%,18%,30%
0.9%,24.9,41.7,51.8,69.3,137.9,5.5,23%,73%,4%,21%,15%,15%,18%,31%
0.2%,33.9,46.0,52.4,65.4,146.7,4.3,12%,84%,4%,22%,19%,17%,20%,22%
1.4%,39.0,62.6,69.4,113.1,158.4,4.1,11%,85%,5%,32%,20%,15%,16%,17%
0.0%,18.8,24.8,44.4,41.1,124.6,6.6,17%,79%,4%,21%,19%,17%,20%,22%
1.6%,27.6,53.8,64.2,104.1,144.1,5.2,13%,83%,5%,25%,19%,16%,19%,21%
0.0%,14.3,20.0,43.7,29.7,113.9,8.0,18%,78%,4%,21%,20%,19%,21%,19%
0.0%,7.4,9.9,64.2,20.8,92.6,12.4,21%,76%,3%,31%,21%,16%,18%,15%
8.9%,32.2,64.2,54.9,105.0,142.7,4.4,9%,87%,4%,18%,17%,17%,22%,26%
0.6%,54.9,82.5,78.4,116.5,192.4,3.5,2%,95%,3%,27%,18%,13%,15%,28%
0.0%,13.9,29.8,50.0,42.9,117.6,8.4,13%,84%,3%,22%,19%,17%,21%,22%
0.1%,30.8,43.0,52.7,63.9,147.7,4.8,13%,82%,4%,23%,19%,17%,19%,22%
0.1%,26.7,40.4,52.7,60.6,140.5,5.3,14%,82%,4%,23%,18%,16%,19%,23%
9.5%,40.0,71.6,53.0,120.4,158.0,3.9,7%,89%,4%,17%,16%,17%,22%,29%
2.1%,34.4,57.1,67.0,106.6,149.2,4.3,20%,76%,4%,28%,17%,15%,16%,23%
0.3%,47.5,69.6,80.1,95.9,180.5,3.8,4%,91%,5%,29%,20%,16%,17%,19%
1.4%,24.4,44.1,57.2,85.9,136.6,5.6,14%,82%,4%,25%,19%,16%,18%,22%
0.0%,18.3,23.3,54.9,61.4,124.6,6.8,20%,75%,4%,24%,18%,15%,18%,24%
0.6%,21.2,38.3,71.0,51.1,134.5,6.4,12%,82%,6%,18%,14%,12%,18%,38%
6.0%,37.1,59.7,67.3,117.8,154.7,4.2,6%,90%,5%,17%,14%,13%,20%,36%
8.7%,28.7,39.9,57.6,87.0,141.7,4.9,5%,89%,6%,21%,20%,16%,20%,22%
1.4%,19.2,26.6,52.7,64.3,122.7,6.4,8%,88%,5%,26%,22%,16%,18%,18%
4.4%,36.1,53.3,72.4,118.7,154.1,4.3,9%,87%,4%,20%,16%,15%,20%,29%
0.2%,21.7,32.8,55.2,68.1,131.3,6.0,17%,78%,5%,23%,17%,14%,18%,28%
0.0%,14.6,30.3,54.0,52.0,117.0,8.0,15%,81%,5%,27%,18%,14%,17%,25%
0.6%,53.8,74.1,60.1,88.8,182.9,3.4,8%,88%,4%,21%,16%,14%,19%,29%
0.3%,39.1,51.1,56.6,79.8,157.3,4.0,13%,83%,5%,22%,18%,16%,20%,24%
0.0%,7.5,11.0,42.8,26.7,86.1,11.5,16%,80%,4%,15%,14%,13%,20%,38%
0.6%,20.9,29.1,60.0,82.4,130.2,6.2,22%,72%,5%,22%,14%,13%,17%,35%
0.3%,18.7,25.8,59.3,75.3,125.8,6.7,21%,74%,5%,23%,14%,13%,17%,34%
0.0%,17.3,23.6,57.4,63.1,123.1,7.1,21%,74%,5%,22%,14%,13%,17%,34%
0.0%,7.1,12.8,41.2,22.3,84.0,11.8,19%,76%,5%,21%,18%,15%,19%,28%
0.2%,17.2,35.0,56.9,71.3,122.4,7.1,14%,81%,5%,28%,18%,13%,16%,24%
0.4%,30.0,43.0,55.3,74.7,145.8,4.9,15%,80%,5%,22%,18%,15%,19%,26%
0.3%,25.4,32.0,64.5,89.6,139.4,5.5,14%,81%,5%,25%,19%,15%,18%,24%
0.1%,27.9,35.7,58.4,70.9,143.0,5.1,16%,79%,5%,24%,19%,16%,19%,23%
0.6%,44.8,61.6,60.7,87.6,168.0,3.7,9%,87%,4%,18%,16%,14%,20%,31%
1.6%,31.5,51.4,60.2,98.1,142.1,4.5,15%,81%,4%,20%,17%,15%,20%,28%
3.2%,29.3,48.4,51.0,74.4,144.5,4.9,5%,87%,9%,18%,13%,13%,18%,39%
1.1%,26.9,41.5,52.2,76.1,141.6,5.3,7%,89%,5%,21%,17%,15%,20%,26%
0.0%,9.8,12.0,43.8,21.6,99.0,10.1,21%,75%,4%,20%,17%,15%,19%,28%
0.0%,14.7,21.0,46.9,36.8,115.7,7.8,21%,75%,5%,21%,17%,15%,19%,28%
4.8%,32.7,50.1,59.7,108.0,144.4,4.4,8%,88%,4%,16%,14%,14%,20%,35%
0.1%,17.0,27.5,59.6,69.3,122.4,7.2,19%,76%,5%,30%,18%,13%,15%,23%
0.0%,17.1,32.1,49.5,49.9,121.9,7.1,16%,78%,5%,18%,14%,13%,18%,38%
0.4%,20.9,29.0,65.9,83.7,129.9,6.2,15%,79%,6%,22%,17%,14%,19%,28%
0.5%,28.6,37.8,55.6,86.9,144.2,5.0,11%,83%,6%,23%,16%,14%,16%,31%
6.3%,33.3,40.4,64.7,117.8,146.9,4.4,8%,87%,5%,21%,16%,14%,19%,29%
7.4%,13.4,27.0,44.5,81.3,109.7,8.2,12%,83%,5%,26%,21%,17%,19%,17%
9.1%,8.3,14.0,42.6,57.3,89.0,10.7,10%,84%,6%,30%,24%,16%,16%,14%
5.4%,21.6,32.8,64.7,119.6,133.7,6.2,11%,85%,5%,26%,18%,15%,18%,22%
0.0%,14.7,18.8,54.7,60.1,116.6,7.9,17%,79%,5%,29%,19%,15%,16%,21%
0.3%,16.0,22.6,52.4,69.3,119.7,7.5,13%,82%,5%,35%,21%,15%,14%,15%
1.8%,35.7,57.0,53.1,76.6,150.2,4.2,12%,83%,5%,27%,19%,15%,18%,21%
0.1%,27.5,34.4,52.2,67.2,142.4,5.2,15%,80%,5%,27%,20%,16%,18%,19%
0.2%,18.7,30.6,50.3,65.0,124.8,6.7,21%,74%,5%,23%,17%,15%,19%,27%
0.0%,2.6,5.4,44.8,28.3,52.6,20.3,20%,73%,7%,27%,17%,15%,15%,26%
0.0%,2.9,8.6,44.9,43.8,55.6,18.9,16%,77%,6%,33%,17%,13%,14%,22%
0.0%,1.7,5.1,45.1,29.8,42.9,25.5,17%,76%,7%,31%,17%,14%,15%,23%
0.0%,14.2,17.6,43.3,42.4,114.2,8.1,21%,74%,5%,30%,21%,16%,16%,18%
0.6%,16.7,26.2,53.0,82.5,121.2,7.2,12%,83%,5%,34%,21%,15%,14%,16%
0.1%,21.1,27.6,51.7,67.1,129.6,6.1,17%,78%,5%,27%,20%,16%,17%,20%
1.1%,11.8,17.3,52.6,82.5,108.4,9.2,15%,81%,5%,31%,21%,16%,16%,16%
0.0%,15.3,19.5,52.9,61.2,118.1,7.7,18%,77%,5%,29%,21%,16%,17%,16%
0.7%,27.0,47.4,50.7,71.6,141.2,5.2,11%,84%,4%,24%,18%,15%,18%,25%
2.6%,19.3,28.9,54.9,102.1,126.4,6.5,13%,83%,5%,25%,18%,16%,18%,22%
6.9%,33.4,44.5,54.2,101.1,145.3,4.4,9%,82%,9%,25%,16%,14%,15%,31%
0.2%,9.4,20.1,45.0,55.2,98.6,10.5,14%,81%,5%,27%,19%,15%,18%,20%
0.0%,8.6,12.8,42.6,38.6,92.9,10.8,21%,75%,4%,28%,20%,16%,17%,19%
0.0%,3.6,5.3,42.0,26.2,60.4,16.7,23%,73%,4%,28%,20%,17%,16%,18%
4.9%,24.6,33.1,52.1,105.1,136.7,5.6,11%,84%,5%,22%,16%,15%,19%,28%
0.8%,12.3,19.7,54.2,81.9,109.7,8.9,14%,82%,5%,41%,21%,14%,12%,12%
0.7%,24.5,30.7,49.8,76.9,136.7,5.6,11%,84%,5%,25%,18%,15%,16%,27%
0.0%,5.0,8.6,47.2,43.0,71.6,14.2,14%,81%,5%,32%,20%,15%,16%,17%
4.0%,21.3,51.4,55.9,91.4,132.1,6.2,8%,87%,5%,15%,13%,12%,18%,42%
2.0%,29.7,40.0,57.4,76.3,143.4,4.8,7%,87%,6%,22%,18%,16%,18%,26%
0.6%,22.4,32.1,50.1,56.2,129.8,5.8,10%,84%,6%,26%,21%,15%,16%,23%
1.4%,33.3,47.4,64.0,97.1,147.2,4.4,11%,84%,4%,18%,15%,14%,18%,35%
1.5%,39.6,60.2,60.6,95.9,158.7,4.0,9%,86%,5%,20%,15%,13%,16%,36%
0.0%,12.6,19.9,61.6,32.2,112.5,8.9,21%,75%,4%,29%,18%,13%,14%,26%
0.0%,60.9,99.8,37.2,128.8,193.0,3.2,,,,,,,,
0.4%,55.5,78.3,88.8,106.9,195.4,3.5,6%,89%,4%,21%,16%,15%,19%,29%
0.0%,13.9,24.5,60.3,40.0,117.1,8.4,13%,82%,6%,17%,13%,12%,18%,41%
0.3%,30.0,39.8,60.9,82.0,147.1,4.9,18%,76%,6%,25%,14%,12%,14%,35%
0.1%,26.6,35.5,61.4,79.3,141.4,5.3,19%,76%,5%,27%,17%,13%,14%,29%
0.1%,26.9,35.2,57.9,68.5,142.3,5.3,19%,76%,5%,26%,16%,12%,14%,31%
0.3%,26.8,42.6,55.8,65.0,142.4,5.3,13%,82%,5%,21%,16%,13%,17%,33%
0.1%,12.6,18.0,61.8,29.0,113.5,9.0,21%,75%,4%,29%,18%,14%,14%,25%
0.6%,47.6,68.5,73.1,103.1,176.1,3.7,8%,87%,5%,19%,15%,14%,17%,35%
0.1%,26.1,34.3,63.0,66.9,142.2,5.4,19%,76%,5%,24%,17%,14%,16%,29%
1.5%,43.3,59.5,58.2,97.6,164.9,3.8,7%,89%,5%,19%,17%,15%,16%,33%
0.0%,53.5,90.3,34.4,121.8,181.4,3.4,,,,,,,,
0.4%,27.3,41.4,57.5,71.8,142.9,5.2,21%,75%,4%,20%,15%,14%,17%,33%
0.0%,8.6,20.3,17.3,37.9,92.5,10.7,,,,,,,,
4.1%,37.6,55.9,57.1,106.6,154.4,4.1,3%,93%,5%,23%,17%,13%,17%,30%
0.4%,24.1,37.8,56.1,66.9,137.3,5.7,12%,82%,6%,20%,16%,13%,17%,34%
0.4%,25.9,38.0,54.1,71.3,139.9,5.4,12%,83%,6%,22%,16%,14%,16%,32%
1.9%,23.0,45.2,50.2,80.0,133.7,5.8,14%,82%,5%,16%,13%,13%,18%,40%
0.0%,17.1,23.0,51.2,35.2,122.5,7.1,21%,75%,4%,29%,18%,13%,14%,26%
0.0%,4.4,8.5,64.1,17.7,73.0,16.4,22%,74%,4%,29%,17%,14%,15%,25%
0.1%,27.1,36.7,64.7,77.4,141.9,5.2,19%,76%,5%,24%,18%,14%,16%,29%
2.5%,24.9,34.0,52.3,75.6,134.7,5.4,13%,83%,4%,20%,19%,16%,21%,23%
3.2%,25.0,34.0,52.1,74.1,134.6,5.4,16%,80%,4%,23%,20%,15%,19%,22%
0.0%,22.6,32.3,54.0,66.4,133.2,5.9,17%,79%,4%,20%,17%,16%,21%,25%
3.4%,47.8,61.9,61.0,134.4,172.5,3.6,6%,88%,6%,18%,14%,13%,19%,37%
1.0%,22.7,38.4,55.7,81.5,132.9,5.9,12%,83%,5%,26%,17%,13%,17%,27%
3.4%,54.0,98.7,58.3,151.5,182.8,3.4,4%,93%,3%,20%,16%,14%,20%,30%
0.9%,59.6,78.2,69.7,129.0,195.6,3.3,4%,91%,5%,17%,16%,16%,22%,29%
9.5%,30.1,57.0,52.4,105.1,145.3,4.8,3%,92%,6%,15%,13%,11%,21%,40%
2.1%,33.0,41.3,61.5,96.2,145.9,4.4,17%,78%,5%,20%,13%,12%,18%,36%
2.0%,30.3,38.8,60.0,97.0,147.4,4.9,16%,79%,5%,21%,14%,12%,18%,35%
2.4%,31.9,41.1,59.5,97.9,143.4,4.5,17%,78%,5%,21%,14%,12%,18%,36%
2.4%,39.9,53.5,62.8,117.1,159.3,4.0,6%,89%,5%,21%,17%,15%,19%,29%
0.5%,20.2,37.0,54.5,70.6,127.9,6.3,12%,83%,5%,25%,17%,14%,17%,27%
1.1%,54.3,72.4,76.2,134.9,187.4,3.5,6%,89%,5%,18%,16%,15%,21%,30%
0.5%,23.3,29.3,60.5,82.6,135.1,5.8,20%,76%,4%,22%,18%,15%,19%,26%
